Date,Ticker,companyName,Divid %,Volume,Close,Divid Rate,5_Days_pos,above_SMA_50,etf,adr,bond
2024-06-28,REFI,"Chicago Atlantic Real Estate Finance, Inc. Common Stock",3.02,137100,15.56,0.47,False,False,False,False,False
2024-06-28,HIMX,"Himax Technologies, Inc. American Depositary Shares",3.49,841300,8.32,0.29,True,True,False,False,False
2024-06-28,NYMT,"New York Mortgage Trust, Inc. Common Stock",3.38,933900,5.91,0.2,False,False,False,False,False
2024-06-28,TRIN,Trinity Capital Inc. Common Stock,3.51,914100,14.54,0.51,False,False,False,False,False
2024-07-01,GBOOY,Grupo Financiero Banorte ADR,5.44,164700,41.1,2.234831,False,False,False,True,False
2024-07-02,CRCT,"Cricut, Inc. Class A Common Stock",8.47,598400,5.9,0.5,False,False,False,False,False
2024-07-02,UMC,United Microelectronics Corporation (NEW) Common Stock,5.32,6724900,8.71,0.4634975,False,True,False,False,False
2024-07-03,BDN,Brandywine Realty Trust Common Stock,3.4,1153400,4.41,0.15,False,False,False,False,False
2024-07-03,NOAH,Noah Holdings Limited American Depositary Shares,10.5,297000,10.12,1.062465,False,False,False,False,False
2024-07-03,NOAH,Noah Holdings Limited American Depositary Shares,10.5,297000,10.12,1.062464,False,False,False,False,False
2024-07-05,IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,4.32,771600,9.25,0.4,False,True,False,False,False
2024-07-05,TWO,Two Harbors Investment Corp,3.43,752500,13.13,0.45,False,True,False,False,False
2024-07-08,SGHC,Super Group (SGHC) Limited Ordinary Shares,3.14,622000,3.18,0.1,False,False,False,False,False
